worker_no,exclude,item1,item2,item3,chosen_item,isrepeat,RT
25,0,telegraph,plaster cast,headphones,plaster cast,0,3112
25,0,headphones,knob,clothes,clothes,0,4158
25,0,canvas,tiara,table,tiara,0,1777
25,0,turban,telegraph,trophy,telegraph,0,1886
25,0,bowler hat,drain,headphones,drain,1,4092
25,0,chariot,punching bag,bowler hat,chariot,1,2168
25,0,bookshelf,table,macadamia,macadamia,0,4927
25,0,pizza,toolbox,punching bag,pizza,0,2126
25,0,coaster,beaver,flagpole,beaver,0,2150
25,0,hammer,bumper,hopscotch,hopscotch,1,3136
25,0,tuba,bookshelf,navel,navel,0,3989
25,0,toolbox,tea,pizza,toolbox,0,4440
25,0,drain,trophy,navel,navel,0,1474
25,0,telegraph,tea,rudder,tea,0,2934
25,0,navel,laptop,plaster cast,laptop,0,2560
25,0,chariot,coaster,pizza,chariot,0,4828
25,0,laptop,washcloth,tarantula,tarantula,0,4883
25,0,bench,tarantula,toolbox,tarantula,1,1764
25,0,drain,bookshelf,rolling pin,drain,0,2515
25,0,knob,chariot,bag,chariot,0,2416
25,0,bumper,drain,canvas,canvas,0,4944
25,0,tea,flagpole,bag,flagpole,1,2175
25,0,rolling pin,trigger,clothes,trigger,0,1885
25,0,rudder,hopscotch,clothes,hopscotch,0,2073
25,0,beaver,canister,tiara,canister,1,3019
25,0,camera,beaver,rudder,camera,0,4029
25,0,toolbox,camera,plaster cast,plaster cast,0,4532
25,0,bag,washcloth,table,table,0,8164
25,0,jet,tuba,macadamia,macadamia,0,3719
25,0,chariot,hammer,camera,chariot,0,1435
25,0,tape measure,music box,jet,jet,0,3500
25,0,bowler hat,mistletoe,clothes,mistletoe,0,5868
25,0,candelabra,knob,rudder,rudder,0,5784
25,0,punching bag,hopscotch,trigger,trigger,0,2389
25,0,punching bag,bumper,bench,bumper,0,2553
25,0,tea,jet,trigger,tea,0,2096
25,0,washcloth,doormat,jet,jet,0,2509
25,0,music box,knob,laptop,laptop,0,7451
25,0,rudder,doormat,canister,canister,0,2803
25,0,dice,navel,punching bag,navel,0,2181
25,0,washcloth,clothes,tea,tea,0,4998
25,0,bumper,doormat,mistletoe,bumper,0,3579
25,0,metal detector,tarantula,plaster cast,tarantula,0,2484
25,0,drain,table,laptop,laptop,0,2027
25,0,hammer,table,flagpole,table,0,2313
25,0,candelabra,drain,turban,drain,0,7388
25,0,hammer,telegraph,tarantula,tarantula,0,4247
25,0,toolbox,hopscotch,rolling pin,hopscotch,0,1601
25,0,table,bucket,hopscotch,hopscotch,0,3553
25,0,rudder,coaster,tape measure,rudder,0,7636
25,0,headphones,pizza,bag,headphones,0,2950
25,0,doormat,drain,bag,bag,1,3996
25,0,headphones,rudder,trophy,rudder,0,2648
25,0,hammer,laptop,punching bag,laptop,0,2555
25,0,bag,coaster,punching bag,coaster,0,3190
25,0,navel,macadamia,flagpole,macadamia,0,2686
25,0,candelabra,tape measure,bucket,candelabra,0,3401
25,0,canvas,hammer,jet,jet,0,5952
25,0,beaver,knob,navel,knob,0,2299
25,0,washcloth,mistletoe,tape measure,mistletoe,0,2965
25,0,plaster cast,furnace,pizza,plaster cast,0,5766
25,0,rolling pin,metal detector,hammer,rolling pin,0,3323
25,0,beaver,headphones,file,beaver,0,6673
25,0,rudder,dice,washcloth,rudder,0,3966
25,0,headphones,dice,bucket,dice,0,3453
25,0,headphones,bumper,canister,bumper,1,4595
25,0,drain,clothes,bench,clothes,0,1977
25,0,punching bag,plaster cast,jet,plaster cast,0,3023
26,0,music box,rudder,turban,turban,0,8621
26,0,canvas,music box,rolling pin,canvas,0,2037
26,0,laptop,dice,chariot,chariot,0,7648
26,0,clothes,canister,turban,canister,0,2095
26,0,chariot,music box,table,chariot,0,2878
26,0,metal detector,rudder,furnace,rudder,0,10655
26,0,flagpole,drain,furnace,flagpole,0,9094
26,0,file,music box,hopscotch,file,0,7767
26,0,plaster cast,washcloth,rolling pin,rolling pin,0,6477
26,0,jet,coaster,knob,jet,0,3644
26,0,tea,bucket,telegraph,telegraph,0,7659
26,0,chariot,trigger,macadamia,macadamia,0,8121
26,0,turban,hopscotch,furnace,hopscotch,1,4974
26,0,bookshelf,hammer,bag,bookshelf,0,6631
26,0,hammer,music box,trigger,music box,0,2640
26,0,laptop,bumper,file,bumper,0,3706
26,0,file,bench,canvas,canvas,0,4828
26,0,turban,file,trophy,turban,0,4789
26,0,tape measure,metal detector,beaver,beaver,1,2924
26,0,chariot,tape measure,knob,chariot,0,3520
26,0,toolbox,drain,telegraph,drain,0,3049
26,0,candelabra,clothes,telegraph,clothes,0,2539
26,0,camera,doormat,macadamia,doormat,0,6517
26,0,navel,jet,tiara,jet,0,4075
26,0,trophy,bookshelf,candelabra,bookshelf,0,2155
26,0,bucket,toolbox,navel,navel,0,2321
26,0,trigger,metal detector,trophy,trophy,0,3227
26,0,hopscotch,turban,furnace,hopscotch,1,4407
26,0,file,navel,tape measure,navel,0,2789
26,0,pizza,laptop,tea,laptop,0,2300
26,0,bag,canister,mistletoe,mistletoe,0,1588
26,0,drain,hopscotch,chariot,drain,1,4808
26,0,candelabra,file,pizza,pizza,0,5203
26,0,coaster,furnace,navel,navel,0,2315
26,0,bucket,knob,bumper,bucket,0,3327
26,0,dice,table,tea,tea,0,9653
26,0,tarantula,dice,bumper,tarantula,0,2878
26,0,headphones,doormat,hopscotch,headphones,0,2014
26,0,coaster,dice,mistletoe,mistletoe,0,2670
26,0,drain,tea,music box,tea,0,2317
26,0,canister,bumper,headphones,canister,1,3088
26,0,knob,tarantula,canister,tarantula,0,2138
26,0,trophy,bowler hat,bag,bag,0,1522
26,0,tarantula,canvas,coaster,tarantula,0,3372
26,0,pizza,trophy,bumper,pizza,0,3073
26,0,table,telegraph,canister,table,0,2008
26,0,file,bowler hat,bookshelf,bowler hat,1,6301
26,0,tape measure,plaster cast,bookshelf,plaster cast,0,2485
26,0,bowler hat,tape measure,furnace,bowler hat,0,3003
26,0,pizza,canister,bowler hat,pizza,0,2848
26,0,bumper,beaver,turban,bumper,0,1937
26,0,plaster cast,bag,music box,music box,0,2655
26,0,trigger,drain,tiara,tiara,0,4047
26,0,clothes,plaster cast,tiara,plaster cast,0,5422
26,0,hammer,tape measure,bench,bench,0,2028
26,0,candelabra,rolling pin,bowler hat,bowler hat,0,3204
26,0,file,bucket,tuba,bucket,0,4155
26,0,doormat,navel,clothes,doormat,0,2827
26,0,drain,chariot,hopscotch,drain,1,3758
26,0,pizza,bucket,jet,pizza,0,5258
26,0,beaver,bookshelf,washcloth,beaver,0,6382
26,0,canvas,toolbox,mistletoe,toolbox,1,3790
26,0,canvas,trophy,doormat,doormat,1,4298
26,0,candelabra,tea,bumper,tea,0,2732
26,0,toolbox,hammer,coaster,coaster,1,3027
26,0,canvas,plaster cast,beaver,canvas,0,3752
26,0,tape measure,punching bag,tea,tea,0,4647
26,0,hammer,pizza,doormat,pizza,0,3219
26,0,telegraph,dice,knob,knob,1,2866
26,0,trigger,navel,table,navel,0,4376
26,0,knob,rolling pin,tiara,tiara,0,2053
26,0,bowler hat,hammer,tuba,bowler hat,0,3011
26,0,candelabra,laptop,hopscotch,hopscotch,0,5321
26,0,mistletoe,file,trigger,mistletoe,0,3912
26,0,hopscotch,camera,canister,hopscotch,0,2601
26,0,chariot,canvas,turban,canvas,0,3714
26,0,headphones,macadamia,hammer,macadamia,0,3552
26,0,coaster,turban,table,turban,0,2762
26,0,file,clothes,hammer,clothes,0,3506
26,0,macadamia,tea,furnace,tea,0,2015
26,0,bag,bumper,coaster,bag,0,1789
26,0,bowler hat,rudder,jet,bowler hat,0,5235
26,0,navel,rudder,canister,navel,0,2477
26,0,macadamia,beaver,bag,beaver,0,2324
26,0,tea,canvas,bowler hat,tea,0,2025
26,0,flagpole,knob,plaster cast,plaster cast,0,4902
26,0,macadamia,toolbox,laptop,macadamia,1,2624
26,0,bench,candelabra,table,candelabra,0,2554
26,0,turban,pizza,bookshelf,pizza,0,2098
26,0,bookshelf,bench,knob,knob,0,1954
26,0,metal detector,macadamia,dice,metal detector,0,4000
26,0,rudder,bench,bag,bag,0,6100
26,0,furnace,candelabra,jet,jet,0,3737
26,0,furnace,trophy,telegraph,trophy,0,2778
26,0,rolling pin,tape measure,bumper,rolling pin,0,5422
26,0,tea,beaver,tarantula,tea,0,2222
26,0,rolling pin,bench,pizza,pizza,0,1375
26,0,table,furnace,tuba,table,0,1899
26,0,flagpole,mistletoe,beaver,flagpole,0,2465
26,0,dice,bookshelf,clothes,dice,0,2183
26,0,metal detector,punching bag,turban,turban,0,4609
26,0,trophy,tuba,beaver,beaver,0,3568
26,0,telegraph,canvas,laptop,canvas,0,2623
26,0,trophy,clothes,macadamia,clothes,1,2456
26,0,beaver,navel,bowler hat,bowler hat,0,3661
26,0,clothes,pizza,flagpole,pizza,0,2301
26,0,flagpole,bench,canister,bench,0,2124
26,0,trophy,bench,plaster cast,trophy,0,3605
26,0,macadamia,bucket,trigger,bucket,0,3769
26,0,macadamia,turban,plaster cast,macadamia,1,7311
26,0,clothes,tuba,tape measure,clothes,0,3375
26,0,trigger,beaver,pizza,trigger,0,2173
26,0,beaver,hammer,furnace,beaver,0,2827
26,0,jet,bookshelf,flagpole,bookshelf,1,2083
26,0,tape measure,metal detector,beaver,beaver,1,2471
26,0,flagpole,tuba,rolling pin,rolling pin,1,2708
26,0,bench,furnace,doormat,bench,0,1901
26,0,washcloth,furnace,chariot,washcloth,0,2703
26,0,trigger,camera,headphones,trigger,0,4701
26,0,coaster,tuba,canister,coaster,0,5568
26,0,toolbox,bag,furnace,furnace,0,2116
26,0,bowler hat,chariot,punching bag,chariot,1,3088
26,0,candelabra,plaster cast,chariot,plaster cast,0,5628
26,0,dice,tiara,toolbox,toolbox,1,2988
26,0,rolling pin,tarantula,file,tarantula,0,3340
26,0,rolling pin,furnace,pizza,pizza,0,1359
26,0,headphones,washcloth,candelabra,washcloth,0,1678
26,0,candelabra,bag,tiara,candelabra,1,2439
26,0,toolbox,trigger,turban,turban,0,3853
26,0,pizza,camera,dice,pizza,0,2757
26,0,washcloth,tuba,turban,tuba,0,2973
26,0,hopscotch,bookshelf,tape measure,hopscotch,0,3288
26,0,plaster cast,hopscotch,dice,plaster cast,0,4169
26,0,tarantula,table,bowler hat,tarantula,0,1829
26,0,chariot,laptop,tuba,chariot,0,1459
26,0,turban,laptop,bowler hat,laptop,0,3156
26,0,plaster cast,mistletoe,drain,drain,0,2549
26,0,toolbox,bench,tarantula,tarantula,1,3235
26,0,turban,camera,bumper,turban,1,1374
26,0,tiara,headphones,tea,tea,1,2085
26,0,headphones,bookshelf,coaster,headphones,0,4322
26,0,tiara,hammer,bucket,tiara,0,5689
26,0,mistletoe,laptop,tiara,laptop,0,2317
26,0,tea,doormat,bookshelf,tea,0,3054
26,0,dice,trigger,furnace,dice,0,2718
26,0,macadamia,candelabra,mistletoe,mistletoe,0,5729
26,0,navel,bumper,jet,navel,0,3481
26,0,mistletoe,tuba,punching bag,tuba,0,2038
26,0,dice,tape measure,bag,tape measure,0,3538
26,0,tuba,knob,hopscotch,hopscotch,0,5001
26,0,mistletoe,camera,bookshelf,mistletoe,0,2639
26,0,telegraph,file,jet,jet,0,2302
26,0,bucket,music box,macadamia,music box,0,4170
26,0,tarantula,headphones,turban,headphones,0,4416
26,0,trophy,laptop,bucket,laptop,0,2548
26,0,headphones,tuba,bench,bench,0,3025
26,0,macadamia,plaster cast,turban,macadamia,1,2525
26,0,tarantula,jet,pizza,jet,0,4270
26,0,canister,tiara,trophy,tiara,0,3189
26,0,hopscotch,toolbox,tiara,toolbox,0,3248
26,0,navel,candelabra,music box,navel,0,4379
26,0,camera,coaster,macadamia,macadamia,1,6912
26,0,bag,clothes,canvas,canvas,0,1816
26,0,tarantula,music box,bag,tarantula,0,2826
26,0,telegraph,beaver,punching bag,beaver,0,2602
26,0,music box,mistletoe,pizza,music box,0,1869
26,0,tea,tiara,headphones,tea,1,1442
26,0,bumper,camera,turban,turban,1,1744
26,0,doormat,tiara,turban,doormat,0,2972
26,0,flagpole,candelabra,toolbox,flagpole,0,2850
26,0,dice,tiara,toolbox,toolbox,1,2471
26,0,canister,punching bag,drain,canister,0,2763
26,0,canister,laptop,jet,canister,0,2363
26,0,pizza,tape measure,table,pizza,0,2470
26,0,hammer,canister,plaster cast,plaster cast,0,3237
26,0,candelabra,coaster,tea,candelabra,0,1721
26,0,bucket,washcloth,flagpole,washcloth,0,3620
26,0,canvas,navel,pizza,navel,0,2856
26,0,bumper,rudder,table,bumper,0,3367
26,0,tuba,rolling pin,flagpole,flagpole,1,3119
26,0,metal detector,tuba,candelabra,metal detector,0,2270
26,0,washcloth,macadamia,bowler hat,macadamia,0,2301
26,0,beaver,bench,music box,beaver,0,3938
26,0,canister,file,macadamia,macadamia,0,3530
26,0,tarantula,chariot,clothes,tarantula,0,1364
26,0,chariot,headphones,navel,headphones,0,3621
26,0,mistletoe,jet,table,mistletoe,0,2872
26,0,mistletoe,rolling pin,telegraph,mistletoe,0,5721
26,0,rolling pin,navel,camera,navel,0,2813
26,0,file,punching bag,furnace,punching bag,0,3351
26,0,trigger,canvas,washcloth,trigger,0,6000
26,0,jet,camera,clothes,clothes,0,2603
26,0,doormat,punching bag,candelabra,punching bag,0,3915
26,0,tape measure,bookshelf,laptop,bookshelf,0,3620
26,0,canvas,rudder,flagpole,rudder,0,4888
26,0,headphones,furnace,music box,furnace,0,5205
26,0,turban,bag,jet,jet,0,3907
26,0,hopscotch,bench,macadamia,hopscotch,0,6711
26,0,hammer,hopscotch,bumper,hopscotch,1,1961
26,0,hammer,navel,candelabra,navel,0,3434
26,0,chariot,rudder,tiara,tiara,0,2131
26,0,metal detector,table,clothes,metal detector,0,1575
26,0,dice,file,flagpole,file,0,2902
26,0,tuba,pizza,rudder,pizza,0,6117
26,0,canister,rolling pin,macadamia,macadamia,0,1421
26,0,doormat,rolling pin,bucket,rolling pin,0,3237
26,0,coaster,tiara,hopscotch,hopscotch,0,2003
26,0,laptop,beaver,doormat,beaver,0,3212
26,0,table,toolbox,headphones,table,0,1823
26,0,flagpole,headphones,tape measure,flagpole,1,6379
26,0,flagpole,telegraph,trigger,flagpole,0,1389
26,0,beaver,toolbox,clothes,beaver,0,3775
26,0,drain,bowler hat,headphones,drain,1,1444
26,0,bench,turban,bucket,turban,0,2332
26,0,file,doormat,chariot,doormat,0,1404
26,0,table,file,knob,file,0,2017
26,0,coaster,laptop,clothes,laptop,0,2508
26,0,laptop,metal detector,headphones,headphones,0,3490
26,0,bucket,bowler hat,camera,camera,0,4054
26,0,bookshelf,tiara,tuba,bookshelf,0,3015
26,0,canister,bucket,metal detector,metal detector,0,13527
26,0,coaster,music box,washcloth,music box,0,5375
26,0,trophy,hammer,dice,hammer,0,2162
26,0,punching bag,music box,tiara,punching bag,0,1759
26,0,doormat,table,plaster cast,table,0,3776
26,0,canvas,bookshelf,bucket,bucket,0,3569
26,0,bench,jet,dice,jet,0,2818
26,0,tarantula,flagpole,hopscotch,tarantula,0,3483
26,0,tea,mistletoe,knob,knob,0,5435
26,0,bench,washcloth,tiara,bench,0,4212
26,0,washcloth,canister,tea,washcloth,0,2147
26,0,tiara,furnace,tarantula,tarantula,0,1775
26,0,toolbox,tape measure,trophy,trophy,1,2747
26,0,tiara,bumper,metal detector,tiara,0,4739
26,0,washcloth,tea,hammer,tea,0,1653
26,0,dice,music box,canister,canister,0,1943
26,0,bumper,furnace,clothes,clothes,0,2921
26,0,trophy,table,punching bag,table,0,3343
26,0,telegraph,pizza,metal detector,pizza,0,2162
26,0,tiara,beaver,canister,beaver,1,1529
26,0,laptop,navel,bench,navel,0,2570
26,0,tape measure,trophy,toolbox,trophy,1,1674
26,0,file,rudder,bag,bag,0,1282
26,0,telegraph,chariot,bookshelf,chariot,0,2202
26,0,coaster,metal detector,doormat,metal detector,0,1816
26,0,canvas,knob,furnace,furnace,0,3096
26,0,canvas,doormat,trophy,trophy,1,2719
26,0,canvas,mistletoe,toolbox,toolbox,1,2824
26,0,bag,hammer,tarantula,tarantula,0,4805
26,0,metal detector,toolbox,jet,jet,0,2557
26,0,coaster,rolling pin,trophy,trophy,0,4294
26,0,bookshelf,music box,metal detector,bookshelf,0,1338
26,0,trigger,pizza,knob,pizza,1,2816
26,0,clothes,macadamia,trophy,macadamia,1,6425
26,0,canvas,punching bag,headphones,punching bag,0,3697
26,0,rudder,bucket,plaster cast,rudder,0,1422
26,0,doormat,tuba,tarantula,tarantula,0,2867
26,0,toolbox,file,washcloth,washcloth,0,5421
26,0,tape measure,macadamia,tiara,tiara,0,6301
26,0,trophy,flagpole,music box,flagpole,0,2233
26,0,metal detector,knob,bowler hat,bowler hat,0,1591
26,0,bag,bucket,trigger,trigger,0,3451
26,0,tape measure,camera,drain,drain,0,4271
26,0,macadamia,telegraph,bumper,macadamia,0,5175
26,0,camera,file,tiara,tiara,0,10500
26,0,navel,tea,turban,tea,0,1685
26,0,tiara,candelabra,bag,candelabra,1,1898
26,0,metal detector,hammer,pizza,pizza,0,1685
26,0,bag,tea,flagpole,tea,1,2201
26,0,turban,hammer,knob,turban,0,3785
26,0,toolbox,knob,doormat,doormat,0,2281
26,0,metal detector,file,tea,tea,0,4546
26,0,dice,bowler hat,doormat,dice,0,3321
26,0,plaster cast,tea,tuba,plaster cast,0,2486
26,0,tiara,bowler hat,flagpole,flagpole,0,1502
26,0,laptop,toolbox,macadamia,macadamia,1,6442
26,0,rudder,jet,drain,drain,0,4921
26,0,bucket,mistletoe,furnace,mistletoe,0,4456
26,0,mistletoe,hopscotch,metal detector,metal detector,0,2689
26,0,metal detector,bench,bowler hat,bench,0,1536
26,0,bag,navel,hopscotch,bag,0,2457
26,0,toolbox,canister,chariot,chariot,1,3229
26,0,bucket,tarantula,candelabra,tarantula,0,7941
26,0,hammer,tuba,drain,drain,1,2973
26,0,bookshelf,trigger,bumper,bookshelf,0,2263
26,0,washcloth,pizza,hopscotch,pizza,0,1275
26,0,rolling pin,laptop,bag,bag,1,2117
26,0,punching bag,flagpole,camera,flagpole,0,2185
26,0,pizza,trigger,knob,pizza,1,5489
26,0,chariot,rolling pin,tea,tea,0,4575
26,0,tuba,toolbox,bumper,tuba,0,2225
26,0,bag,camera,metal detector,bag,0,2425
26,0,bowler hat,hopscotch,telegraph,hopscotch,0,2624
26,0,laptop,bumper,flagpole,flagpole,0,5183
26,0,camera,telegraph,table,table,0,2494
26,0,chariot,toolbox,canister,chariot,1,3620
26,0,punching bag,tarantula,bookshelf,tarantula,0,2378
26,0,bowler hat,coaster,trigger,trigger,0,1576
26,0,bench,telegraph,coaster,bench,0,3637
26,0,tarantula,trophy,camera,tarantula,0,1307
26,0,bag,laptop,rolling pin,bag,1,2409
26,0,rolling pin,jet,headphones,jet,0,3283
26,0,hammer,mistletoe,rudder,mistletoe,0,1221
26,0,navel,tarantula,mistletoe,mistletoe,0,2409
26,0,knob,macadamia,punching bag,punching bag,0,3406
26,0,laptop,rudder,trigger,rudder,0,4201
26,0,drain,washcloth,metal detector,washcloth,0,26111
26,0,bag,doormat,drain,bag,1,3971
26,0,toolbox,coaster,hammer,coaster,1,13824
26,0,canvas,camera,candelabra,camera,0,2663
26,0,rudder,tarantula,macadamia,tarantula,0,2432
26,0,jet,bookshelf,flagpole,bookshelf,1,1546
26,0,metal detector,canvas,navel,canvas,0,2296
26,0,dice,candelabra,beaver,beaver,0,1568
26,0,trophy,knob,mistletoe,mistletoe,0,2835
26,0,toolbox,rudder,bookshelf,toolbox,0,3151
26,0,beaver,chariot,bucket,beaver,0,1423
26,0,music box,tuba,camera,camera,0,4990
26,0,trigger,plaster cast,bench,trigger,0,3669
26,0,bowler hat,bookshelf,file,bowler hat,1,2402
26,0,tuba,bag,telegraph,bag,0,3452
26,0,furnace,canister,bookshelf,furnace,0,7570
26,0,telegraph,pizza,tiara,pizza,0,2325
26,0,tape measure,flagpole,headphones,flagpole,1,1832
26,0,washcloth,punching bag,trophy,washcloth,0,3526
26,0,camera,tea,bench,tea,0,2433
26,0,hopscotch,jet,beaver,beaver,0,9430
26,0,bag,washcloth,tuba,tuba,0,4372
26,0,plaster cast,coaster,file,file,0,6681
26,0,drain,macadamia,pizza,pizza,0,1436
26,0,camera,knob,washcloth,washcloth,0,2715
26,0,flagpole,doormat,turban,turban,0,3979
26,0,macadamia,camera,coaster,camera,1,1520
26,0,trigger,tarantula,tuba,tarantula,0,6480
26,0,canvas,dice,tuba,dice,0,21043
26,0,canvas,tape measure,canister,canvas,0,2469
26,0,telegraph,tape measure,turban,turban,0,1121
26,0,turban,mistletoe,headphones,headphones,0,3945
26,0,telegraph,knob,dice,knob,1,2981
26,0,mistletoe,chariot,bench,mistletoe,0,2115
26,0,beaver,drain,dice,beaver,0,1931
26,0,bowler hat,toolbox,music box,bowler hat,0,7467
26,0,rudder,punching bag,rolling pin,punching bag,0,3234
26,0,table,beaver,rolling pin,beaver,0,1313
26,0,telegraph,washcloth,navel,telegraph,0,2572
26,0,clothes,music box,bumper,clothes,0,2587
26,0,turban,dice,rolling pin,turban,0,1212
26,0,knob,file,drain,drain,0,3229
26,0,trigger,bag,dice,trigger,0,2678
26,0,drain,tuba,hammer,drain,1,2781
26,0,metal detector,flagpole,chariot,flagpole,0,4485
26,0,bumper,bowler hat,plaster cast,bumper,0,4038
26,0,trigger,doormat,tape measure,doormat,0,4262
26,0,drain,bucket,coaster,bucket,0,2202
26,0,laptop,camera,furnace,furnace,0,3784
26,0,doormat,telegraph,music box,doormat,0,1875
26,0,candelabra,canister,trigger,trigger,0,3365
26,0,chariot,jet,trophy,trophy,0,5121
26,0,macadamia,canvas,hopscotch,macadamia,0,3986
26,0,drain,tape measure,tarantula,tarantula,0,2741
26,0,bucket,punching bag,clothes,bucket,0,2873
26,0,table,toolbox,bookshelf,toolbox,0,2325
26,0,tea,hopscotch,trophy,hopscotch,0,2239
26,0,washcloth,bumper,chariot,washcloth,0,5370
26,0,telegraph,plaster cast,headphones,plaster cast,0,1908
26,0,headphones,knob,clothes,clothes,0,5498
26,0,canvas,tiara,table,tiara,0,1713
26,0,turban,telegraph,trophy,turban,0,1631
26,0,bowler hat,drain,headphones,drain,1,2263
26,0,chariot,punching bag,bowler hat,bowler hat,1,2393
26,0,bookshelf,table,macadamia,macadamia,0,1900
26,0,pizza,toolbox,punching bag,pizza,0,1715
26,0,coaster,beaver,flagpole,beaver,0,3366
26,0,hammer,bumper,hopscotch,hopscotch,1,1946
26,0,tuba,bookshelf,navel,navel,0,2171
26,0,toolbox,tea,pizza,toolbox,0,2247
26,0,drain,trophy,navel,navel,0,1984
26,0,telegraph,tea,rudder,tea,0,3035
26,0,navel,laptop,plaster cast,laptop,0,1366
26,0,chariot,coaster,pizza,chariot,0,2024
26,0,laptop,washcloth,tarantula,tarantula,0,3097
26,0,bench,tarantula,toolbox,tarantula,1,1846
26,0,drain,bookshelf,rolling pin,drain,0,1589
26,0,knob,chariot,bag,bag,0,3578
26,0,bumper,drain,canvas,canvas,0,3281
26,0,tea,flagpole,bag,tea,1,2749
26,0,rolling pin,trigger,clothes,trigger,0,1514
26,0,rudder,hopscotch,clothes,hopscotch,0,1782
26,0,beaver,canister,tiara,beaver,1,4625
26,0,camera,beaver,rudder,beaver,0,3593
26,0,toolbox,camera,plaster cast,plaster cast,0,1604
26,0,bag,washcloth,table,table,0,3274
26,0,jet,tuba,macadamia,macadamia,0,5693
26,0,chariot,hammer,camera,chariot,0,2008
26,0,tape measure,music box,jet,jet,0,3544
26,0,bowler hat,mistletoe,clothes,mistletoe,0,1359
26,0,candelabra,knob,rudder,rudder,0,1847
26,0,punching bag,hopscotch,trigger,trigger,0,2563
26,0,punching bag,bumper,bench,bumper,0,2225
26,0,tea,jet,trigger,tea,0,5176
26,0,washcloth,doormat,jet,jet,0,2332
26,0,music box,knob,laptop,laptop,0,1860
26,0,rudder,doormat,canister,doormat,0,3460
26,0,dice,navel,punching bag,navel,0,3351
26,0,washcloth,clothes,tea,tea,0,3369
26,0,bumper,doormat,mistletoe,mistletoe,0,3189
26,0,metal detector,tarantula,plaster cast,tarantula,0,2100
26,0,drain,table,laptop,drain,0,1761
26,0,hammer,table,flagpole,flagpole,0,2533
26,0,candelabra,drain,turban,turban,0,5917
26,0,hammer,telegraph,tarantula,tarantula,0,3660
26,0,toolbox,hopscotch,rolling pin,hopscotch,0,2595
26,0,table,bucket,hopscotch,hopscotch,0,3044
26,0,rudder,coaster,tape measure,coaster,0,1631
26,0,headphones,pizza,bag,pizza,0,4093
26,0,doormat,drain,bag,drain,1,3044
26,0,headphones,rudder,trophy,headphones,0,2255
26,0,hammer,laptop,punching bag,punching bag,0,1599
26,0,bag,coaster,punching bag,punching bag,0,2001
26,0,navel,macadamia,flagpole,navel,0,3814
26,0,candelabra,tape measure,bucket,candelabra,0,2047
26,0,canvas,hammer,jet,canvas,0,2440
26,0,beaver,knob,navel,beaver,0,3164
26,0,washcloth,mistletoe,tape measure,tape measure,0,5608
26,0,plaster cast,furnace,pizza,furnace,0,2520
26,0,rolling pin,metal detector,hammer,metal detector,0,4357
26,0,beaver,headphones,file,beaver,0,2001
26,0,rudder,dice,washcloth,washcloth,0,4024
26,0,headphones,dice,bucket,bucket,0,1901
26,0,headphones,bumper,canister,bumper,1,1226
26,0,drain,clothes,bench,clothes,0,4287
26,0,punching bag,plaster cast,jet,jet,0,2594
27,0,bucket,bowler hat,mistletoe,bowler hat,0,8111
27,0,headphones,clothes,canvas,canvas,0,1323
27,0,bag,music box,rolling pin,rolling pin,0,2173
27,0,bumper,macadamia,table,macadamia,0,3764
27,0,headphones,washcloth,bench,headphones,1,3756
27,0,clothes,macadamia,trigger,macadamia,1,2740
27,0,drain,washcloth,punching bag,punching bag,0,2196
27,0,metal detector,trigger,tea,tea,0,1676
27,0,telegraph,rolling pin,camera,rolling pin,0,2109
27,0,hammer,coaster,bookshelf,coaster,0,3340
27,0,jet,candelabra,hopscotch,jet,0,3660
27,0,toolbox,navel,hammer,navel,0,4164
27,0,toolbox,flagpole,mistletoe,toolbox,0,3204
27,0,washcloth,file,canister,washcloth,1,2621
27,0,navel,mistletoe,telegraph,navel,0,6517
27,0,telegraph,punching bag,canister,telegraph,0,2412
27,0,punching bag,knob,rudder,punching bag,1,9333
27,0,laptop,furnace,trigger,furnace,0,7124
27,0,pizza,canvas,mistletoe,canvas,0,2862
27,0,trophy,laptop,clothes,trophy,0,1858
27,0,rolling pin,navel,furnace,navel,0,6428
27,0,bumper,bag,turban,bumper,0,2516
27,0,beaver,hopscotch,knob,beaver,0,2572
27,0,file,metal detector,punching bag,punching bag,0,2927
27,0,tea,coaster,tarantula,tarantula,0,2397
27,0,camera,tiara,hopscotch,hopscotch,0,1580
27,0,file,coaster,macadamia,macadamia,0,3508
27,0,beaver,coaster,telegraph,beaver,0,2084
27,0,chariot,plaster cast,dice,plaster cast,0,1427
27,0,rolling pin,bookshelf,rudder,rolling pin,0,3132
27,0,bookshelf,navel,bag,navel,0,3533
27,0,file,chariot,tape measure,chariot,1,1412
27,0,bowler hat,rolling pin,punching bag,rolling pin,1,1684
27,0,doormat,tuba,bucket,tuba,0,3356
27,0,beaver,dice,macadamia,beaver,1,2756
27,0,file,canister,washcloth,file,1,2956
27,0,camera,washcloth,chariot,chariot,0,3893
27,0,drain,laptop,plaster cast,drain,0,1684
27,0,metal detector,hopscotch,macadamia,macadamia,0,11332
27,0,dice,bowler hat,bag,dice,1,3605
27,0,rudder,tea,table,rudder,0,2941
27,0,tarantula,washcloth,beaver,washcloth,0,1516
27,0,doormat,tarantula,rolling pin,tarantula,0,1499
27,0,pizza,hammer,rudder,pizza,0,1492
27,0,navel,pizza,table,navel,0,2372
